start_date,end_date,duration_in_seconds,recorded_date,response_id,consent,reason_mistake,mistake_type,mistake_cause,stress,workflow,experience,comment,comment_modified,experience_modified
2023-05-16 15:33:36,2023-05-16 15:36:46,190,2023-05-16 15:36:47,R_2WSGAhLTWOJCFbP,Yes,Partially,Incorrect reporting,Technical issue,5,Yes,NA,NA,not modified,not modified
2023-05-16 15:55:23,2023-05-16 16:01:48,384,2023-05-16 16:01:49,R_SIVgiX0F1XdqaFb,Yes,It was the main reason,Incorrect data processing/analysis,Bad skill management,4,Yes,"Although I failed to properly mentor of the scientist who made mistakes in the interpretation of the data, I felt that the persons inquiring about the problem were blaming me more than the person responsible for the retraction.",Always request to see the raw data from an experiment,not modified,not modified
2023-05-16 16:09:09,2023-05-16 16:27:09,1080,2023-05-16 16:27:10,R_2vfgZUecZClJr84,Yes,It was the main reason,NA,Overconfidence,4,Yes,I was close to retirement so it didn’t affect me much but I felt bad for the students on the paper.,Mistakes happen. It is important to retract the paper as soon as the error is detected and all the authors have been made aware. It is very hard on all concerned.,not modified,not modified
2023-05-16 18:58:48,2023-05-16 19:00:40,111,2023-05-16 19:00:41,R_3DiP6nqgtTBahJJ,Yes,It was the main reason,Data coding error,Technical issue,4,Yes,NA,NA,not modified,not modified
2023-05-16 19:39:02,2023-05-16 19:46:25,442,2023-05-16 19:46:26,R_1EWBc3laLCBAaD6,Yes,It was the main reason,Data transfer error,Inattention,6,Yes,"We check accuracy in recording and presentation to the highest standards. Involve the team well and train them for data collection, analysis, and interpretation.",NA,not modified,not modified
2023-05-16 20:30:45,2023-05-16 20:34:04,199,2023-05-16 20:34:05,R_2asEqmQ3GsEr10M,Yes,It was the main reason,Incorrect data processing/analysis,Inattention,5,Yes,"'- Much more checking, and double checking, of codes and against published examples in the literature .",NA,not modified,not modified
2023-05-16 20:33:25,2023-05-16 20:35:16,111,2023-05-16 20:35:17,R_1eUVgDrLFSgGPHQ,Yes,It was the main reason,Data coding error,Inattention,6,Yes,NA,NA,not modified,not modified
2023-05-16 20:34:00,2023-05-16 20:39:04,303,2023-05-16 20:39:05,R_1C7aC74jU3V5Te8,Yes,It was the main reason,Incorrect data processing/analysis,Lack of knowledge/experience,3,Yes,"It was an honest mistake, an oversight. I'm glad we caught it as it was a coding error that would, and did, infect several experiments, and even experiments for other labs if they used the code. Retraction was an easy process that was well-handled by the journal.",thanks for doing this important work.,not modified,not modified
2023-05-16 21:44:39,2023-05-16 21:53:41,542,2023-05-16 21:53:42,R_2zBgrtuSskykeYx,Yes,Partially,Data coding error,Project management issue,6,Yes,Need to review all the data regardless of the experience of the collaborators,NA,not modified,not modified
2023-05-16 21:45:56,2023-05-16 22:04:14,1098,2023-05-16 22:04:17,R_RxHYvyvSbB2Z4Bz,Yes,Partially,NA,NA,6,Yes,"Yes, when receiving reviewer comments we ensure that we make strong rebuttals on comments that we believe are not appropriate.","Biggest lesson learnt is not to do everything that a journal editor and reviewers ask, especially in high ranking journals. I guess we were lucky as we chose to retreat the paper purely based on the fact that what the journal was requesting us to do was simply wrong. Upon reflection we were proud that we stood up for what was right and subsequently we where able to resubmit our original paper with the original appropriate analysis and the paper was published.",not modified,not modified
2023-05-16 22:06:36,2023-05-16 22:12:56,379,2023-05-16 22:12:57,R_1Quf6sG5SUnjG8T,Yes,It was the main reason,Incorrect data processing/analysis,Too high complexity,4,No,NA,the error was caused by data with large numbers of zeroes (for example 180000000 gr for the weight [deleted identifiable information]). It is easy to enter one zero less or more than the correct number. I now express data like this as 180 000 000 in a separate data columnn,modified,not modified
2023-05-17 02:14:01,2023-05-17 02:39:09,1508,2023-05-17 02:39:10,R_2V3yf0MLqRJaqJ5,Yes,It was the main reason,Incorrect data processing/analysis,Bad skill management,6,Yes,"Careful and objective.
Molecular structure should be determined comprehensively from multiple data sources.
NMR, mass spectrometry, X-ray crystallography, IR (compare with literature values and vibrational calculations of similar structures), derivatization (note skeletal changes in derivatization reactions)
Share compound data with group members.
May make multiple mistakes (fundamental problems in the operation).
Do not get caught up in the meritocracy. Do not rush.
When mistakes are made, correct them gracefully. Respond with sincerity. Do not be overly discouraged.",NA,not modified,not modified
2023-05-17 03:21:31,2023-05-17 03:30:16,525,2023-05-17 03:30:17,R_3GdNcGEyjw0Q1D0,Yes,Partially,Data or file organization error,Carelessness,5,No,NA,NA,not modified,not modified
2023-05-17 05:19:58,2023-05-17 05:51:24,1886,2023-05-17 05:51:26,R_2dEHXZuU4RCZe56,Yes,It was the main reason,Loss of materials/documentation/data,Bad or lack of planning,6,Yes,Retraction was unfortunate as there was no scientific error. Each conclusion was supported by 5,The withdrawal process was very stressful as we were confident about scientific authenticity of data but could not provide raw scans though we had autorads. Keeping raw scans for more than 5 years is difficult in LMIC settings. We have started sending pdf of raw scans to journals while submission but most don't take it. We would be relieved if journals checked raw data before publishing as Scientists do not have expertise in. Checking data,not modified,not modified
2023-05-16 16:06:56,2023-05-17 07:11:28,54272,2023-05-17 07:11:29,R_XzGKJ5yoHXjomXf,Yes,Partially,Data input error,Risking human error,6,Yes,"I never thought I’d be faced with retraction of an article. Surprisingly it is one of the most challenging things I encountered as a young scientist. While I feared the recourse of obtaining the reputation of being an “untidy scientist,” I believed it necessary given the self-correcting nature of the occupation. Since the retraction, others have confirmed my findings and have provided validation to my corrected report.",NA,not modified,not modified
2023-05-17 07:48:34,2023-05-17 08:38:18,2983,2023-05-17 08:38:19,R_2z7ujRi4un2YN96,Yes,It was the main reason,Incorrect connection between data points,Risking human error,5,Yes,"It was extremely sad, when we found out about the mistake and had to retract. However, I was very positively surprised how the journal was understanding our situation and gave us a change to resubmit, when we had corrected for the mistake.","Always check your work multiple times to be sure no mistakes have been made. Especially ask a friend or colleague to go through your work.
mail: [deleted identifiable information]",modified,not modified
2023-05-17 08:33:41,2023-05-17 08:43:11,570,2023-05-17 08:43:12,R_3irQcHQmgP9raRf,Yes,It was the main reason,Data transfer error,Technical issue,4,Yes,It would have been very useful if the journals would explain the causes for the error and how to avoid them in the retraction note.,It turns out that copying large datasets in a FASTA format into Excel transposes a few of the lines in the database. it is very difficult to spot since it is a very rare situation.,not modified,not modified
2023-05-17 17:09:25,2023-05-17 17:20:50,685,2023-05-17 17:20:52,R_1Ld3vRIILgP7f6u,Yes,It was the main reason,Incorrect data processing/analysis,Too high complexity,6,Yes,NA,"Instead of retracting, they should have pointed out the mistakes and made us to correct them. Some times, non English speaking persons might  take the expression from other papers but not the data or result. This should be viewed sympathetically.",not modified,not modified
2023-05-22 04:40:55,2023-05-22 04:47:03,367,2023-05-22 04:47:04,R_1CfnmrhrOaDdNYf,Yes,Partially,Data input error,Carelessness,6,Yes,The journal could have asked to change one figure that was the main issue,Students can not be relied upon blindly,not modified,not modified
2023-06-02 08:26:54,2023-06-02 08:35:36,521,2023-06-02 08:35:37,R_2CHB420Ko7fYH24,Yes,It was the main reason,NA,Technical issue,6,No,"Attacking of published work became a tool for some people to ""fight"" colleagues from institute in order to eliminate competition","Director of our institute [deleted identifiable information] is non-trustable person, which is not surprise to his history as communist secret agend. It is sad but still problem in post communistic countries.",modified,not modified
2023-06-14 11:18:42,2023-06-14 11:20:28,105,2023-06-14 11:20:29,R_dgLDV62DPD9Oesx,Yes,It was the main reason,Data coding error,Bad or lack of standards,6,Yes,NA,NA,not modified,not modified
2023-06-14 11:21:22,2023-06-14 11:23:37,134,2023-06-14 11:23:38,R_2466ib5BByROraj,Yes,It was the main reason,Version control error,Miscommunication,4,No,NA,NA,not modified,not modified
