duration_in_seconds,response_id,consent,reason_mistake,mistake_type,mistake_cause,stress,workflow,experience
172,R_OVTkzUwXwuWnCvi,Yes,Partially,Sharing confidential data,Technical issue,2,No,Group1
121,R_lWJzX12QavR1qOh,Yes,Partially,Group5,Bad skill management,4,Yes,Group1
203,R_A6Q4dVZbSsPUVfH,Yes,It was the main reason,Incorrect software or hardware settings,Risking human error,4,Yes,Group1
273,R_tJsonvcAeTslrcT,Yes,It was the main reason,Ambiguous naming/defining of data,Lack of knowledge/experience,3,No,Group1
389,R_vdHxKvgAMvySI3d,Yes,Partially,Project management error,Project management issue,4,No,Group1
293,R_tpX9pry4rBMzRrA,Yes,It was the main reason,Oversight in study design or measurement,Technical issue,4,Yes,Group1
251,R_BC1g0NykunDd5Ly,Yes,Partially,Oversight in study design or measurement,Carelessness,6,Yes,Group1
141,R_4oXF9Rjwmpc89cD,Yes,It was the main reason,Group5,Inattention,1,Yes,Group2
216,R_qJmYozHBi0yS3C6,Yes,It was the main reason,Data transfer error,Lack of knowledge/experience,4,No,Group2
231,R_0vByLv8qldoVNt4,Yes,Partially,Version control error,Miscommunication,3,Yes,Group2
316,R_4ixCRCvYNAyNUDK,Yes,Partially,Incorrect data processing/analysis,Miscommunication,1,Yes,Group2
302,R_ekCHCZAwV2tCBZa,Yes,It was the main reason,Technical/infrastructural problem,Time pressure,2,Yes,Group2
271,R_yFn8FrcHewSFWk9,Yes,Partially,Group5,Group3,6,No,Group2
251,R_z710Dh2MVx68cJU,Yes,Partially,Incorrect data processing/analysis,Technical issue,5,Yes,Group2
272,R_m0OfguuGz4WsCa8,Yes,It was the main reason,Participant allocation error,Bad or lack of planning,3,Yes,Group1
288,R_vIGKD7riwv6Kj9h,Yes,It was the main reason,Sharing confidential data,Bad or lack of planning,6,No,Group1
300,R_6cmZVH1JR5VzCu6,Yes,Partially,Ambiguous naming/defining of data,Overconfidence,4,No,Group1
392,R_bKrEIFi0QRepasH,Yes,Partially,Project management error,Technical issue,6,No,Group1
195,R_ynbo9GgJrgy7nYv,Yes,It was the main reason,Data or file organization error,Too high complexity,6,No,Group1
166,R_jZXqHkBpb2VZiQi,Yes,It was the main reason,Data selection/merging error,Group3,1,Yes,Group1
251,R_FuHwx8fwRSpgIcY,Yes,It was the main reason,Oversight in study design or measurement,Project management issue,2,Yes,Group2
