start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,distribution_channel,user_language,consent,reason_mistake,mistake_type,mistake_type_21_text,mistake_cause,mistake_cause_16_text,stress,workflow,experience,comment,comment_modified,experience_modified
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"Dear Colleague,

We found your paper in the Retraction Watch database (http://retractiondatabase.org/) and we would like to ask 5 short questions about the mistakes that you identify behind this unfortunate event.  


In this study, we examine the types and causes of data management mistakes made in retracted scientific papers. Our survey aims to help researchers by highlighting those honest mistakes that can potentially lead to retractions.



We value your time so we tried to make this survey as short as possible. Completing the survey takes an average of 3 minutes.



We link your answers to the retracted paper only for analytical purposes. Neither the title of the paper nor any information on the authors of the retracted paper will be shared publicly. Only your survey responses and the reasons behind the retraction will be made publicly available in a way that they cannot be linked to you.



I hereby declare that I have understood and accept the information given above and in the detailed informed consent form (https://osf.io/3sc46), and I give my consent to participate in this survey as well as to the processing of all the data I provide and to share my anonymous responses.

 
Marton Kovacs, ELTE University, Hungary

Russell Poldrack, Stanford University, USA

 

Contact:

kovacs.marton@ppk.elte.hu

The OSF page of the project: https://osf.io/v7fc2/","To what degree was the retraction of your work, mentioned in our email, caused by data management mistakes?","Which of the following data management mistake type contributed the most to the retraction of your paper?

 

If you need an explanation for some of these labels, examples of the response options can be found next to each option in parentheses. - Selected Choice","Which of the following data management mistake type contributed the most to the retraction of your paper?

 

If you need an explanation for some of these labels, examples of the response options can be found next to each option in parentheses. - Other, please specify: - Text","What was the main cause of the data management mistake you identified above?
If you need an explanation for some of these labels, examples of the response options can be found next to each option in parentheses. - Selected Choice","What was the main cause of the data management mistake you identified above?
If you need an explanation for some of these labels, examples of the response options can be found next to each option in parentheses. - Other, please specify: - Text",How much stress did you experience due to the retraction of the article?,Did you change anything in your research workflow because of the retraction?,Is there anything else that you would like to share about your experience with the retraction?,"Here, you can leave any comments on the project or lessons learned that you would like to share. Please add your email address here if you would be open to a more in-depth chat about your experience.",not modified,not modified
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_21_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_16_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID14_TEXT""}",not modified,not modified
2023-04-19 12:52:21,2023-04-19 12:53:05,IP Address,100,44,True,2023-04-19 12:53:06,R_2pRiYiisPokhlDP,anonymous,EN,Yes,partially,"Ambiguous naming/defining of data (e.g. ambiguous naming, inconsistent identifier, incorrect labeling,  non- transparent naming, poor labeling of variables)",NA,"Bad or lack of standards (e.g. bad routines, error in coding protocol, error in data organization, inconsistent file naming, insufficient procedures)",NA,1,Yes,test,test,not modified,not modified
2023-05-08 10:44:20,2023-05-08 10:44:31,Survey Preview,100,10,True,2023-05-08 10:44:31,R_2UVMrPcWmS0Fbly,preview,EN,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-08 10:44:41,2023-05-08 10:45:03,Survey Preview,100,22,True,2023-05-08 10:45:04,R_reVAN2PNsT5spW1,preview,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-08 10:45:07,2023-05-08 10:46:00,Survey Preview,100,53,True,2023-05-08 10:46:03,R_sBVdmcodtdxNjLH,preview,EN,Yes,partially,"Incorrect software or hardware settings (e.g. allowing missing data in survey, failure to calibrate data collector equipment, wrong settings in experimental program, wrong software settings)",NA,"Too high complexity (e.g. difficult task, difficulty in file management, lack of easy to use tools, too complex)",NA,3,Yes,test,tes,not modified,not modified
2023-05-09 08:44:21,2023-05-09 08:44:52,IP Address,100,30,True,2023-05-09 08:44:54,R_exEZ1dZI0CxDSaB,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-09 13:42:52,2023-05-09 13:43:28,IP Address,100,35,True,2023-05-09 13:43:29,R_yDdUAljaonYcBa1,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-09 17:15:39,2023-05-09 17:16:28,IP Address,100,48,True,2023-05-09 17:16:29,R_2uvSaEQ1bRUHvgw,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
2023-05-10 19:17:32,2023-05-10 19:18:29,IP Address,100,56,True,2023-05-10 19:18:30,R_2AZnZLo6UbP6gCv,email,EN,Yes,not at all,NA,NA,NA,NA,NA,NA,NA,NA,not modified,not modified
